subject,rt,correct,jitter,noise,n200trialerp_c1r,n200trialerplat_c1r,p200trialerp_c1n,p200trialerplat_c1n,goodtrials
1,1,722,60,0.45,-30.3330149841428,192.9453125,61.5710913649846,220.2890625,1
1,1,717,80,0.45,-35.9259818577371,250.5625,43.3850880946778,204.6640625,1
1,1,667,70,0.3,-96.8672047633269,221.265625,29.6352847574686,199.78125,1
1,1,883,70,0.6,-63.3915553637349,274.9765625,39.5331475410299,181.2265625,1
1,1,575,60,0.3,-173.821638910775,189.0390625,59.1852657700804,207.59375,1
1,1,524,70,0.3,-32.8975565421355,237.8671875,66.7863431563501,242.75,1
1,1,841,80,0.45,-49.2767578222396,230.0546875,22.8147531408573,182.203125,1
1,1,630,60,0.6,-107.029282438305,170.484375,34.4844149900539,217.359375,1
1,1,537,80,0.3,-105.003635888102,169.5078125,74.1488669853467,231.03125,1
1,1,863,80,0.45,-44.2654383972037,274.9765625,89.878267515889,201.734375,1
1,1,563,80,0.45,-48.802583489402,250.5625,58.8330293275407,224.1953125,1
1,1,715,70,0.3,-73.8778203570559,153.8828125,53.8608395965762,187.0859375,1
1,1,539,70,0.6,-58.5769496186099,274.9765625,23.0743908752027,232.0078125,1
1,1,647,80,0.6,-20.5597541936943,201.734375,56.7578643712406,235.9140625,1
1,1,682,70,0.3,-98.7085447379653,149.9765625,84.1292713753298,239.8203125,1
1,0,617,80,0.6,-57.0274925757491,231.03125,35.0362736082907,198.8046875,1
1,0,1068,70,0.6,-32.4009333227006,189.0390625,59.0078409222423,209.546875,1
1,1,736,70,0.6,-60.7916115169881,260.328125,58.9145553879405,190.015625,1
1,1,620,60,0.6,-69.276558342542,221.265625,75.7989242421798,228.1015625,1
1,1,606,60,0.6,-94.0002529627401,219.3125,52.4853406741403,253.4921875,1
1,1,741,70,0.3,-75.0222091320009,218.3359375,70.1349570433148,149.9765625,1
1,1,715,80,0.3,-54.9216271227125,259.3515625,44.5634262160715,158.765625,1
1,1,787,80,0.3,-85.4286144281376,192.9453125,68.9176502934538,152.90625,1
1,1,576,80,0.3,-51.6146607609451,149.9765625,130.714355006623,170.484375,1
1,0,665,80,0.45,-71.3494467524167,255.4453125,25.8079246139279,166.578125,1
1,1,695,60,0.45,-68.7233482324849,199.78125,61.7124621055466,208.5703125,1
1,1,796,80,0.3,-114.341052393121,201.734375,60.3770985811976,211.5,1
1,1,677,60,0.45,-89.497894129111,241.7734375,98.4972567889302,237.8671875,1
1,1,526,80,0.3,-85.584992073284,229.078125,82.2764715150857,196.8515625,1
